890 87 255
891 90 254
892 87 249
893 84 243
894 86 238
895 83 235
896 82 237
897 85 233
898 93 235
899 95 233
900 93 230
901 89 224
902 90 221
903 92 212
904 91 207
905 94 203
906 92 199
907 96 193
908 95 194
909 97 192
910 102 186
911 109 184
912 110 178
913 114 169
914 119 168
915 122 166
916 129 161
917 138 160
918 146 158
919 147 155
920 148 154
921 151 151
922 152 152
923 160 153
924 161 153
925 166 153
926 182 153
927 174 154
928 179 156
929 179 156
930 187 157
931 185 159
932 191 160
933 195 158
934 198 161
935 192 163
936 201 164
937 199 160
938 204 159
939 204 159
940 203 157
941 207 154
942 214 154
943 221 157
944 223 156
945 222 151
946 229 151
947 237 149
948 253 149
949 265 146
950 268 144
951 280 144
952 293 146
953 301 147
954 306 151
955 314 150
956 324 151
957 326 152
958 340 149
959 351 156
960 363 159
961 387 160
962 406 166
963 407 167
964 416 175
965 420 177
966 415 184
967 408 188
968 415 191
969 418 197
970 431 203
971 432 198
972 429 198
973 417 205
974 429 209
975 435 213
976 432 221
977 430 222
978 425 227
979 423 234
980 424 237
981 431 238
982 442 243
983 435 246
984 417 250
985 430 248
986 437 247
987 452 246
988 448 249
989 460 249
990 460 250
991 475 252
992 481 254
993 497 254
994 509 257
995 500 262
996 497 269
997 496 272
998 500 278
999 490 292
1000 478 297
1001 477 297
1002 473 298
1003 472 295
1004 489 302
1005 496 304
1006 509 303
1007 513 307
1008 519 309
1009 533 315
1010 530 324
1011 533 323
1012 530 329
1013 532 337
1014 537 339
1015 540 337
1016 543 345
1017 541 347
1018 529 355
1019 534 358
1020 525 363
1021 519 363
1022 524 367
1023 508 376
1024 504 380
1025 477 381
1026 462 393
1027 449 403
1028 445 405
1029 434 404
1030 422 414
1031 407 415
1032 388 422
1033 385 422
1034 361 421
1035 351 422
1036 344 424
1037 319 424
1038 296 430
1039 274 431
1040 260 429
1041 251 430
1042 245 428
1043 238 426
1044 230 425
1045 219 432
1046 202 430
1047 195 432
1048 191 427
1049 183 428
1050 173 428
1051 161 419
1052 161 420
1053 153 416
1054 144 408
1055 131 402
1056 121 399
1057 110 394
1058 106 392
1059 101 389
1060 102 385
1061 94 379
1062 93 372
1063 97 365
1064 88 363
1065 84 361
1066 86 359
1067 86 353
1068 82 347
1069 82 343
1070 86 341
1071 84 338
1072 81 329
1073 75 330
1074 75 328
1075 75 323
1076 74 317
1077 78 311
1078 77 302
1079 81 295
1080 84 292
1081 87 287
1082 84 283
1083 83 280
1084 83 276
1085 87 274
1086 86 267
1087 86 266
1088 79 259
1089 78 254
1090 74 247
1091 75 242
1092 77 241
1093 82 239
1094 80 233
1095 81 231
1096 82 228
1097 74 225
1098 77 218
1099 77 213
1100 78 211
1101 80 211
1102 86 210
1103 89 210
1104 90 207
1105 88 206
1106 92 205
1107 92 203
1108 96 202
1109 96 203
1110 94 202
1111 93 202
1112 97 196
1113 98 191
1114 99 187
1115 101 185
1116 101 183
1117 100 180
1118 98 178
1119 100 177
1120 103 173
1121 100 170
1122 99 166
1123 106 166
1124 111 165
1125 118 168
1126 124 167
1127 126 165
1128 125 162
1129 127 159
1130 126 161
1131 130 161
1132 130 161
1133 129 164
1134 138 169
1135 135 174
1136 128 174
1137 135 173
1138 135 172
1139 143 174
1140 153 173
1141 160 180
1142 157 185
1143 157 184
1144 150 186
1145 148 181
1146 139 179
1147 143 178
1148 140 174
1149 140 168
1150 147 167
1151 150 164
1152 150 162
1153 153 164
1154 156 166
1155 154 169
1156 157 169
1157 157 171
1158 158 168
1159 154 170
1160 156 169
1161 157 169
1162 154 170
1163 154 172
1164 151 171
1165 155 173
1166 156 167
1167 163 166
1168 172 165
1169 172 166
1170 174 165
1171 183 164
1172 188 165
1173 188 163
1174 192 163
1175 201 162
1176 203 163
1177 210 165
1178 211 165
1179 215 165
1180 213 166
1181 222 167
1182 228 166
1183 236 169
1184 239 171
1185 241 175
1186 253 173
1187 252 179
1188 256 180
1189 258 178
1190 249 180
1191 260 183
1192 262 183
1193 274 185
1194 282 182
1195 294 183
1196 297 183
1197 305 183
1198 317 181
1199 332 183
1200 335 188
1201 335 185
1202 364 188
1203 373 182
1204 392 184
1205 400 189
1206 403 193
1207 410 191
1208 426 191
1209 422 195
1210 425 197
1211 436 200
1212 447 204
1213 472 207
1214 480 210
1215 478 217
1216 484 223
1217 479 229
1218 484 234
1219 487 236
1220 487 238
1221 499 236
1222 502 247
1223 507 246
1224 525 246
1225 541 250
1226 558 249
1227 580 252
1228 598 252
1229 608 262
1230 617 266
1231 624 265
1232 624 273
1233 629 275
1234 634 283
1235 649 290
1236 661 296
1237 668 308
1238 660 318
1239 662 325
1240 667 331
1241 671 344
1242 691 350
1243 688 366
1244 687 368
1245 691 373
1246 682 383
1247 660 392
1248 647 398
1249 625 411
1250 596 426
1251 587 427
1252 570 443
1253 526 454
1254 485 468
1255 472 485
1256 423 494
1257 370 505
1258 342 509
1259 318 513
1260 302 518
1261 272 524
1262 245 524
1263 225 522
1264 218 516
1265 202 512
1266 189 503
1267 185 510
1268 169 514
1269 167 503
1270 154 494
1271 159 484
1272 153 474
1273 148 469
1274 144 471
1275 137 463
1276 134 458
1277 134 455
1278 136 449
1279 137 446
1280 137 436
1281 135 427
1282 136 424
1283 129 417
1284 128 410
1285 124 404
1286 123 398
1287 122 394
1288 122 390
1289 117 387
1290 121 384
1291 122 381
1292 121 378
1293 110 375
1294 114 373
1295 107 364
1296 113 357
1297 115 353
1298 118 349
1299 116 342
1300 118 339
1301 119 333
1302 119 333
1303 119 331
1304 114 333
1305 112 327
1306 110 319
1307 107 315
1308 109 310
1309 112 305
1310 114 299
1311 112 295
1312 113 289
1313 114 283
1314 115 275
1315 112 275
1316 110 270
1317 114 262
1318 114 262
1319 111 260
1320 114 259
1321 110 251
1322 108 250
1323 102 245
1324 102 246
1325 103 244
1326 103 238
1327 101 235
1328 108 229
1329 106 225
1330 110 217
1331 116 216
1332 119 211
1333 120 210
1334 123 207
1335 129 203
1336 134 201
1337 142 197
1338 142 197
1339 143 196
1340 138 198
1341 146 192
1342 149 192
1343 155 189
1344 160 188
1345 159 191
1346 160 195
1347 164 196
1348 170 196
1349 170 191
1350 172 189
1351 173 184
1352 176 185
1353 184 182
1354 190 180
1355 192 175
1356 197 177
1357 202 180
1358 207 173
1359 216 173
1360 225 172
1361 234 176
1362 233 178
1363 232 179
1364 234 177
1365 240 184
1366 241 188
1367 242 191
1368 241 188
1369 253 188
1370 259 192
1371 254 195
1372 256 193
1373 257 194
1374 268 201
1375 272 200
1376 277 204
1377 274 209
1378 269 210
1379 266 212
1380 270 212
1381 265 217
1382 273 216
1383 264 214
1384 266 215
1385 257 213
1386 252 214
1387 247 221
1388 242 220
1389 236 222
1390 232 226
1391 219 221
1392 212 219
1393 213 216
1394 221 214
1395 227 211
1396 224 215
1397 217 219
